Month,Date,Special Day,Online Sale offers ,Weekend,product-name,Segrecation of books ,Cost Price,item price,shipping-price,Customer ID
1,1,1,1,0,Database System Concepts (Int'l Ed),college,899.1,999,85,B07FWXWZT
1,2,1,1,0,ESE 2017 Mains Examination: Electrical Engineering - Conventional Solved Papers - Paper - 2,competition ,576,640,85,B07FWVXXU
1,3,1,1,0,Objective Type Pharmacy,competition ,643.5,715,85,B07FWVXZS
1,4,0,1,0,A Text Book of Optics,college,508.5,565,85,B07FWYXVQ
1,4,0,0,0,Surveying - Vol. 2,college,444.6,494,85,B07FWXATQ
1,5,0,0,0,Political Theory,college,382.5,425,85,B07FWYYRZ
1,5,0,0,0,A Text Book of Optics,college,508.5,565,85,B07FWYSTS
1,5,0,0,0,A Text Book of Optics,college,508.5,565,85,B07FWXVTV
1,6,0,0,1,39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Mathematics,competition ,180,200,85,B07FWWTVV
1,6,0,0,1,ESE 2018 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,competition ,549,610,85,B07FWXSXU
1,6,0,0,1,A Textbook of Microbiology,college,488.7,543,85,B07FWXSVW
1,6,0,0,1,A Textbook of Microbiology,college,488.7,543,85,B07FWYXQQ
1,6,0,0,1,Principles of Microeconomics( 21st Revised Edition)(By Dr.H.L.AHUJA),college,580.5,645,85,B07FWYXZX
1,7,0,0,1,A Text Book of Optics,college,508.5,565,85,B07FWYVTZ
1,7,0,0,1,A Textbook of Microbiology,college,488.7,543,85,B07FWVYWQ
1,7,0,0,1,Database System Concepts (Int'l Ed),college,899.1,999,85,B07FWYTRU
1,8,0,0,0,Database System Concepts (Int'l Ed),college,899.1,999,85,B07FWXWVY
1,8,0,0,0,ESE 2018 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,competition ,549,610,85,B07FWXSZQ
1,8,0,0,0,ESE 2017 Mains Examination: Electronics & Telecommunication Engineering - Conventional Solved Papers - Paper - 2,competition ,405,450,85,B07FWYZWR
1,8,0,0,0,ESE 2017 Mains Examination: Electrical Engineering - Conventional Solved Papers - Paper - 2,competition ,576,640,85,B07FWWWZU
1,8,0,0,0,A Text Book of Optics,college,508.5,565,85,B07FWVVTW
1,8,0,0,0,ESE 2017 Mains Examination: Civil Engineering - Conventional Solved Papers - Paper - 1,competition ,621,690,85,B07FWYWQV
